datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,weather_1,weather_2,weather_3,weather_4,atemp_LL,atemp_L,atemp_M,atemp_H,atemp_HH,datetime_Y,datetime_M,datetime_D,datetime_h,datetime_m,datetime_s
2011-02-07 08:00:00,1,0,1,2,6.56,11.365,100,0.0,7,223,230,False,True,False,False,False,True,False,False,False,2011,2,7,8,0,0
2011-02-05 06:00:00,1,0,0,3,8.2,12.88,100,0.0,0,4,4,False,False,True,False,False,True,False,False,False,2011,2,5,6,0,0
2011-02-02 10:00:00,1,0,1,2,9.02,13.635,100,0.0,2,59,61,False,True,False,False,False,True,False,False,False,2011,2,2,10,0,0
2011-02-05 14:00:00,1,0,0,3,9.02,13.635,100,0.0,5,50,55,False,False,True,False,False,True,False,False,False,2011,2,5,14,0,0
2011-02-05 15:00:00,1,0,0,3,9.02,13.635,100,0.0,11,49,60,False,False,True,False,False,True,False,False,False,2011,2,5,15,0,0
2012-02-17 08:00:00,1,0,1,2,10.66,15.15,100,0.0,4,516,520,False,True,False,False,False,True,False,False,False,2012,2,17,8,0,0
2012-02-17 09:00:00,1,0,1,2,10.66,15.15,100,0.0,8,275,283,False,True,False,False,False,True,False,False,False,2012,2,17,9,0,0
2012-12-08 20:00:00,4,0,0,2,14.76,18.94,100,0.0,20,162,182,False,True,False,False,False,True,False,False,False,2012,12,8,20,0,0
2012-12-08 21:00:00,4,0,0,2,14.76,18.94,100,0.0,34,175,209,False,True,False,False,False,True,False,False,False,2012,12,8,21,0,0
2012-12-10 01:00:00,4,0,1,2,14.76,18.94,100,0.0,0,4,4,False,True,False,False,False,True,False,False,False,2012,12,10,1,0,0
2012-12-17 04:00:00,4,0,1,3,14.76,18.94,100,0.0,2,3,5,False,False,True,False,False,True,False,False,False,2012,12,17,4,0,0
2011-04-16 22:00:00,2,0,0,3,17.22,21.21,100,0.0,2,22,24,False,False,True,False,False,False,True,False,False,2011,4,16,22,0,0
2011-12-07 08:00:00,4,0,1,3,18.04,21.97,100,0.0,6,80,86,False,False,True,False,False,False,True,False,False,2011,12,7,8,0,0
2011-11-16 12:00:00,4,0,1,3,18.86,22.725,100,0.0,5,49,54,False,False,True,False,False,False,True,False,False,2011,11,16,12,0,0
2011-05-14 07:00:00,2,0,0,3,19.68,23.485,100,0.0,4,28,32,False,False,True,False,False,False,True,False,False,2011,5,14,7,0,0
2011-05-19 03:00:00,2,0,1,1,19.68,23.485,100,0.0,1,3,4,True,False,False,False,False,False,True,False,False,2011,5,19,3,0,0
2011-05-19 07:00:00,2,0,1,2,20.5,24.24,100,0.0,18,239,257,False,True,False,False,False,False,True,False,False,2011,5,19,7,0,0
2011-05-15 00:00:00,2,0,0,2,21.32,25.0,100,0.0,5,34,39,False,True,False,False,False,False,True,False,False,2011,5,15,0,0,0
2011-05-15 03:00:00,2,0,0,2,21.32,25.0,100,0.0,11,21,32,False,True,False,False,False,False,True,False,False,2011,5,15,3,0,0
2011-05-15 04:00:00,2,0,0,2,21.32,25.0,100,0.0,5,8,13,False,True,False,False,False,False,True,False,False,2011,5,15,4,0,0
2012-10-03 04:00:00,4,0,1,2,24.6,25.0,100,0.0,2,9,11,False,True,False,False,False,False,True,False,False,2012,10,3,4,0,0
2011-06-17 05:00:00,2,0,1,1,22.14,25.76,100,0.0,1,12,13,True,False,False,False,False,False,True,False,False,2011,6,17,5,0,0
2011-09-09 10:00:00,3,0,1,2,25.42,25.76,100,0.0,2,27,29,False,True,False,False,False,False,True,False,False,2011,9,9,10,0,0
2011-02-05 05:00:00,1,0,0,3,8.2,11.365,100,6.0032,0,9,9,False,False,True,False,False,True,False,False,False,2011,2,5,5,0,0
2011-02-05 08:00:00,1,0,0,3,8.2,11.365,100,6.0032,0,10,10,False,False,True,False,False,True,False,False,False,2011,2,5,8,0,0
2011-02-05 09:00:00,1,0,0,3,8.2,11.365,100,6.0032,3,17,20,False,False,True,False,False,True,False,False,False,2011,2,5,9,0,0
2011-11-07 08:00:00,4,0,1,2,12.3,15.91,100,6.0032,13,397,410,False,True,False,False,False,True,False,False,False,2011,11,7,8,0,0
2011-03-11 00:00:00,1,0,1,2,13.94,17.425,100,6.0032,0,6,6,False,True,False,False,False,True,False,False,False,2011,3,11,0,0,0
2011-04-10 07:00:00,2,0,0,2,14.76,18.18,100,6.0032,3,7,10,False,True,False,False,False,True,False,False,False,2011,4,10,7,0,0
2012-12-08 07:00:00,4,0,0,2,14.76,18.18,100,6.0032,3,36,39,False,True,False,False,False,True,False,False,False,2012,12,8,7,0,0
2012-12-09 20:00:00,4,0,0,3,14.76,18.18,100,6.0032,6,102,108,False,False,True,False,False,True,False,False,False,2012,12,9,20,0,0
2012-12-09 23:00:00,4,0,0,3,14.76,18.18,100,6.0032,3,48,51,False,False,True,False,False,True,False,False,False,2012,12,9,23,0,0
2012-12-10 00:00:00,4,0,1,3,14.76,18.18,100,6.0032,0,20,20,False,False,True,False,False,True,False,False,False,2012,12,10,0,0,0
2011-12-07 10:00:00,4,0,1,3,18.04,21.97,100,6.0032,1,32,33,False,False,True,False,False,False,True,False,False,2011,12,7,10,0,0
2011-12-07 11:00:00,4,0,1,3,18.04,21.97,100,6.0032,3,47,50,False,False,True,False,False,False,True,False,False,2011,12,7,11,0,0
2011-05-16 02:00:00,2,0,1,1,20.5,24.24,100,6.0032,4,9,13,True,False,False,False,False,False,True,False,False,2011,5,16,2,0,0
2011-05-14 12:00:00,2,0,0,3,21.32,25.0,100,6.0032,75,204,279,False,False,True,False,False,False,True,False,False,2011,5,14,12,0,0
2011-05-14 13:00:00,2,0,0,3,21.32,25.0,100,6.0032,68,180,248,False,False,True,False,False,False,True,False,False,2011,5,14,13,0,0
2011-09-08 22:00:00,3,0,1,3,25.42,25.76,100,6.0032,5,65,70,False,False,True,False,False,False,True,False,False,2011,9,8,22,0,0
2011-09-08 23:00:00,3,0,1,3,25.42,25.76,100,6.0032,0,26,26,False,False,True,False,False,False,True,False,False,2011,9,8,23,0,0
2011-10-13 06:00:00,4,0,1,3,22.14,25.76,100,6.0032,1,51,52,False,False,True,False,False,False,True,False,False,2011,10,13,6,0,0
2011-10-13 08:00:00,4,0,1,3,22.14,25.76,100,6.0032,10,199,209,False,False,True,False,False,False,True,False,False,2011,10,13,8,0,0
2011-03-11 01:00:00,1,0,1,3,13.94,17.425,100,7.0015,0,8,8,False,False,True,False,False,True,False,False,False,2011,3,11,1,0,0
2011-03-11 02:00:00,1,0,1,3,13.94,17.425,100,7.0015,2,3,5,False,False,True,False,False,True,False,False,False,2011,3,11,2,0,0
2012-12-09 21:00:00,4,0,0,2,14.76,18.18,100,7.0015,10,86,96,False,True,False,False,False,True,False,False,False,2012,12,9,21,0,0
2011-12-07 07:00:00,4,0,1,3,18.04,21.97,100,7.0015,3,43,46,False,False,True,False,False,False,True,False,False,2011,12,7,7,0,0
2011-10-19 05:00:00,4,0,1,3,20.5,24.24,100,7.0015,0,3,3,False,False,True,False,False,False,True,False,False,2011,10,19,5,0,0
